latin,category,ideallight,toleratedlight,watering,use,tempmax.celsius,tempmin.celsius,toxicity_animals,toxicity_humans,tempmin_pasmo,tempmax_pasmo,is_cold_tolerant,is_heat_tolerant,category_group,light_level_clean
 Alocasia X amazonica,Other,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Colors / Forms; Table top; Tertiary,28,15,toksyczna (szczawiany wapnia),"toksyczna (pieczenie ust, gardła)",Lubi ciepło,Normalna tolerancja ciepła,0,0,Inne,Rozproszone światło
Anthurium X,Anthurium,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Flower; Table top; Tertiary,22,18,toksyczna,toksyczna,Lubi ciepło,Wrażliwa na upał,0,0,Roślina kwitnąca,Rozproszone światło
Anthurium hookeri,Anthurium,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Secondary,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Cissus rhombifolia,Hanging,Bright light,Diffused,Keep moist between watering. Can dry between watering,Hanging; Ground cover,28,10,lekko toksyczna (wymioty u kotów),nietoksyczna lub lekkie podrażnienia,Toleruje chłód,Normalna tolerancja ciepła,0,0,Wisząca,Rozproszone światło
Cereus peruvianus Monstrosus,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when dry or when soil is half dry.,Potted plant; Primary,35,5,nietoksyczna,nietoksyczna (kolce mogą powodować urazy mechaniczne),Odporna na chłód,Odporna na upał,1,1,Sukulent / kaktus,Bezpośrednie światło
Chamaedorea erumpens,Palm,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Rozproszone światło
Calathea stromata,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0,Paproć / roślina zielona,Rozproszone światło
Codiaeum,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Secondary; Tertiary,28,10,"toksyczna (wymioty, biegunka, podrażnienia skóry)","toksyczna (sok drażniący, może powodować wysypkę)",Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Bezpośrednie światło
Calathea rufibarba,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0,Paproć / roślina zielona,Rozproszone światło
Alocasias X Amazonica var,Other,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Colors / Forms; Table top; Tertiary,28,15,"toksyczna (szczawiany wapnia – obrzęk pyska, ślinotok)","toksyczna (pieczenie jamy ustnej, gardła)",Lubi ciepło,Normalna tolerancja ciepła,0,0,Inne,Rozproszone światło
Crassula argentea,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,35,12,"toksyczna (apatia, wymioty u kotów i psów)",może powodować lekkie zatrucia przy spożyciu,Tylko temperatura pokojowa,Odporna na upał,0,1,Sukulent / kaktus,Bezpośrednie światło
Alocasias X Amazonica,Other,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Colors / Forms; Potted plant; Primary,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Inne,Rozproszone światło
Anthurium schlechtendalii,Anthurium,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Colors / Forms; Primary,28,18,"toksyczna (szczawiany wapnia – wymioty, ślinotok)","toksyczna (pieczenie ust, gardła, obrzęk)",Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Chamaedorea metallica,Palm,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,30,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Rozproszone światło
Aspidistra elatior Minor,Foliage plant,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Ground cover; Potted plant,28,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Calathea ornata Rosea lineata,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0,Paproć / roślina zielona,Rozproszone światło
Asplenium nidus,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,28,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Chlorophytum comosum,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,28,5,nietoksyczna (u kotów może wywołać łagodne wymioty przy zjedzeniu dużej ilości),nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Wisząca,Rozproszone światło
Didymochlaena truncatula,Fern,6 or more hours of direct sunlight per day.,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Tertiary,30,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Paproć / roślina zielona,Bezpośrednie światło
Dieffenbachia,Dieffenbachia,Bright light,Diffused,Keep moist between watering. Can dry between watering,Table top; Potted plant,28,12,"bardzo toksyczna (ślinotok, obrzęk języka, trudności w połykaniu)","bardzo toksyczna (oparzenia jamy ustnej, gardła, możliwa utrata głosu)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Dracaena marginata,Dracaena,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,28,10,"toksyczna (wymioty, ślinotok, osłabienie)",nietoksyczna (u ludzi objawy bardzo rzadkie),Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Dracaena fragrans Massangeana,Dracaena,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Primary,30,10,"toksyczna (wymioty, utrata apetytu u psów i kotów)",nietoksyczna lub bardzo łagodna toksyczność,Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Dracaena deremensis,Dracaena,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,30,10,toksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Cryptanthus Rose Eliane,Bromeliad,Bright light,Direct sunlight,Can be dry between watering. Water when soil is half dry.,Table top; Primary,28,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Dracaena reflexa,Dracaena,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,"toksyczna (wymioty, rozszerzone źrenice u kotów)",nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Bezpośrednie światło
Dieffenbachia maculata,Dieffenbachia,Bright light,Diffused,Keep moist between watering. Can dry between watering,Table top; Potted plant,28,12,bardzo toksyczna,bardzo toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Cycas revoluta,Palm,"Prefers bright, indirect sunlight.",/,Water when soil is half dry. Can be dry between watering.,Potted plant; Primary,30,8,"silnie toksyczna (śmiertelna dla psów i kotów, uszkodzenie wątroby)","toksyczna (nudności, wymioty, uszkodzenia wątroby)",Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Ctenanthe lubbersiana,Foliage plant,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,25,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Wrażliwa na upał,0,0,Paproć / roślina zielona,Rozproszone światło
Cyrtomium falcatum,Fern,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Ground cover,30,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Paproć / roślina zielona,Rozproszone światło
Davallia trichomannoides,Fern,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Hanging; Potted plant,25,10,nietoksyczna,nietoksyczna,Toleruje chłód,Wrażliwa na upał,0,0,Paproć / roślina zielona,Rozproszone światło
Dieffenbachia amoena,Dieffenbachia,Bright light,Diffused,Keep moist between watering. Can dry between watering,Potted plant; Secondary,28,12,bardzo toksyczna,bardzo toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Ficus elastica,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Table top; Tertiary,30,10,"toksyczna (podrażnienia żołądkowe, wymioty)","może powodować podrażnienia skóry, żołądka",Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Dypsis lutescens,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,28,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Epiphyllum,Cactus And Succulent,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Hanging; Secondary,32,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Sukulent / kaktus,Rozproszone światło
Echinocactus grusonii,Cactus And Succulent,6 or more hours of direct sunlight per day.,/,Water only when dry. Must be dry between watering,Potted plant; Primary,40,5,nietoksyczna (ale kolce stanowią zagrożenie mechaniczne),nietoksyczna (oparzenia mechaniczne),Odporna na chłód,Odporna na upał,1,1,Sukulent / kaktus,Bezpośrednie światło
Euphorbia milii,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Table top; Tertiary,35,12,"toksyczna (sok mleczny – wymioty, biegunka, podrażnienia)",toksyczna (podrażnienia skóry i oczu),Tylko temperatura pokojowa,Odporna na upał,0,1,Sukulent / kaktus,Bezpośrednie światło
Epipremnum aureum,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Tertiary,30,12,"toksyczna (szczawiany wapnia – wymioty, ślinotok)","toksyczna (pieczenie jamy ustnej, podrażnienia gardła)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Wisząca,Rozproszone światło
Guzmania,Bromeliad,Bright light,Diffused,Water when soil is half dry. Change water in the vase regularly.,Table top; Tertiary,30,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Ficus maclellandii,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,30,10,toksyczna,może powodować podrażnienia,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Ficus benjamina,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,10,"toksyczna (wymioty, biegunka, podrażnienia skóry u zwierząt)","toksyczna (podrażnienia skóry, reakcje alergiczne)",Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Fatsia japonica,Aralia,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Table top; Potted plant,28,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Rozproszone światło
Euphorbia ammack,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Must be dry between watering. Water only when dry.,Potted plant; Primary,35,12,"toksyczna (sok mleczny drażniący, wymioty)",toksyczna (silne podrażnienia skóry i oczu),Tylko temperatura pokojowa,Odporna na upał,0,1,Sukulent / kaktus,Bezpośrednie światło
Ficus pumila,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Hanging; Ground cover,30,10,toksyczna,może powodować podrażnienia skóry,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Hedera canariensis,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,30,5,"toksyczna (wymioty, biegunka)","toksyczna (podrażnienia skóry, nudności)",Odporna na chłód,Normalna tolerancja ciepła,1,0,Wisząca,Rozproszone światło
Ficus lyrata,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,30,10,"toksyczna (wymioty, ślinotok)","toksyczna (podrażnienia skóry, błon śluzowych)",Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Euphorbia ingens,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,35,12,"toksyczna (silne zatrucia, sok mleczny)","toksyczna (uszkodzenia skóry, oczu)",Tylko temperatura pokojowa,Odporna na upał,0,1,Sukulent / kaktus,Bezpośrednie światło
Ficus maclellandii Alii,Ficus,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,30,10,toksyczna,może powodować podrażnienia,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Euphorbia drupifera,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,35,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Odporna na upał,0,1,Sukulent / kaktus,Bezpośrednie światło
Hedera helix,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,30,5,"toksyczna (ślinotok, biegunka, apatia)","toksyczna (nudności, bóle brzucha, kontaktowe podrażnienia)",Odporna na chłód,Normalna tolerancja ciepła,1,0,Wisząca,Rozproszone światło
Maranta leuconeura erythroneura,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Table top,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Wisząca,Rozproszone światło
Monstera deliciosa,Philodendron,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Secondary,32,12,"toksyczna (szczawiany wapnia – obrzęk pyska, ślinotok)","toksyczna (pieczenie ust, gardła)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Mandevilla X,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Flower; Potted plant,30,10,"toksyczna (biegunka, wymioty)","toksyczna (podrażnienia skóry, zatrucia po spożyciu)",Toleruje chłód,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Bezpośrednie światło
Peperomia obtusifolia,Other,Bright light,/,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,32,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Inne,Rozproszone światło
Ophiopogon japonicus,Grass,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Ground cover; Tertiary,28,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Paproć / roślina zielona,Rozproszone światło
Hedychium coronarium,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Flower; Secondary,30,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Bezpośrednie światło
Hedera helix variegata,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Ground cover,30,5,toksyczna,toksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Wisząca,Rozproszone światło
Pellaea falcata,Fern,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Ground cover; Tertiary,25,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Wrażliwa na upał,0,0,Paproć / roślina zielona,Rozproszone światło
Hoya carnosa Exotica,Hanging,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Hanging; Table top,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Wisząca,Rozproszone światło
Nerium oleander,Flower,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,5,silnie toksyczna (może być śmiertelna – glikozydy nasercowe),"silnie toksyczna (zaburzenia rytmu serca, zatrucia, śmiertelna dawka)",Odporna na chłód,Normalna tolerancja ciepła,1,0,Roślina kwitnąca,Bezpośrednie światło
Pachypodium geayi,Cactus And Succulent,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,35,8,"toksyczna (podrażnienia, możliwe zatrucia)","toksyczna (drażniąca, sok mleczny)",Toleruje chłód,Odporna na upał,0,1,Sukulent / kaktus,Bezpośrednie światło
Licuala spinosa,Palm,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,30,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Rozproszone światło
Philodendron,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,28,18,toksyczna (szczawiany wapnia),toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Neoregelia Flandria,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Colors / Forms,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Liriope muscari Variegata,Foliage plant,Bright light,Direct sunlight,Keep moist between watering. Water when soil is half dry.,Ground cover; Table top,30,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Philodendron micans,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Secondary,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Maranta leuconeura kerchoveana,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Table top,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Wisząca,Rozproszone światło
Neoregelia Victoria Pink,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Colors / Forms,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Nolina recurvata,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,Primary; Potted plant,32,12,toksyczna (łagodne zatrucia u kotów przy spożyciu),nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Bezpośrednie światło
Phalaenopsis X,Flower,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Table top; Secondary,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Hyophorbe verschaffeltii,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,35,10,nietoksyczna,nietoksyczna,Toleruje chłód,Odporna na upał,0,1,Palma / drzewko ozdobne,Bezpośrednie światło
